time, Quad.Roll, Quad.Est.Roll, Quad.Pitch, Quad.Est.Pitch, Quad.Yaw, Quad.Est.Yaw
1.695023,-0.314029,-0.313156,0.006222,0.006060,0.025720,0.027347
1.700023,-0.304252,-0.305348,0.005208,0.005250,0.025888,0.027483
1.705024,-0.294006,-0.293073,0.004171,0.004006,0.026051,0.027682
1.710024,-0.283334,-0.284548,0.003169,0.003204,0.026189,0.027794
1.715024,-0.272282,-0.271304,0.002255,0.002107,0.026286,0.027914
1.720024,-0.260903,-0.262212,0.001393,0.001417,0.026357,0.027972
1.725025,-0.249225,-0.248217,0.000620,0.000489,0.026394,0.028019
1.730025,-0.237301,-0.238688,-0.000010,-0.000017,0.026388,0.028016
1.735025,-0.225144,-0.224118,-0.000431,-0.000523,0.026326,0.027944
1.740025,-0.212790,-0.214247,-0.000664,-0.000708,0.026215,0.027855
1.745026,-0.200225,-0.199185,-0.000784,-0.000853,0.026076,0.027688
1.750026,-0.187485,-0.189003,-0.000815,-0.000877,0.025915,0.027559
1.755026,-0.174551,-0.173497,-0.000856,-0.000928,0.025755,0.027367
1.760026,-0.161489,-0.163053,-0.001009,-0.001052,0.025614,0.027255
1.765026,-0.148353,-0.147302,-0.001283,-0.001381,0.025487,0.027104
1.770027,-0.135215,-0.136798,-0.001695,-0.001714,0.025369,0.027011
1.775027,-0.122157,-0.121136,-0.002192,-0.002310,0.025248,0.026868
1.780027,-0.109258,-0.110824,-0.002706,-0.002723,0.025120,0.026767
1.785027,-0.096543,-0.095573,-0.003162,-0.003271,0.024979,0.026598
1.790028,-0.084047,-0.085580,-0.003539,-0.003571,0.024824,0.026476
1.795028,-0.071783,-0.070869,-0.003877,-0.003978,0.024663,0.026283
1.800028,-0.059798,-0.061283,-0.004143,-0.004189,0.024489,0.026145
1.805028,-0.048184,-0.047351,-0.004348,-0.004435,0.024305,0.025924
1.810029,-0.037186,-0.038540,-0.004302,-0.004413,0.024108,0.025767
1.815029,-0.027557,-0.027000,-0.003294,-0.003187,0.023898,0.025512
1.820029,-0.020140,-0.021056,-0.000314,-0.000817,0.023691,0.025341
