time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
2.205023,0.013077,0.000514,0.003350
2.210022,0.013591,0.000951,0.002541
2.215022,0.014283,0.001530,0.001434
2.220021,0.014728,0.001901,0.000712
2.225021,0.015443,0.002505,-0.000425
2.230021,0.015978,0.002964,-0.001268
2.235020,0.016825,0.003722,-0.002602
2.240020,0.017400,0.004262,-0.003502
2.245020,0.018226,0.005097,-0.004765
2.250019,0.018718,0.005640,-0.005508
2.255019,0.019332,0.006393,-0.006426
2.260019,0.019660,0.006851,-0.006914
2.265018,0.020007,0.007425,-0.007410
2.270018,0.020147,0.007724,-0.007597
2.275017,0.020261,0.008071,-0.007706
2.280017,0.020285,0.008238,-0.007689
2.285017,0.020263,0.008407,-0.007588
2.290016,0.020230,0.008496,-0.007481
2.295016,0.020160,0.008591,-0.007265
2.300016,0.020111,0.008651,-0.007109
2.305015,0.020031,0.008724,-0.006874
2.310015,0.019982,0.008787,-0.006726
2.315015,0.019912,0.008909,-0.006522
2.320014,0.019867,0.009000,-0.006388
2.325014,0.019800,0.009157,-0.006191
2.330014,0.019756,0.009278,-0.006066
2.335013,0.019682,0.009437,-0.005907
2.340013,0.019627,0.009519,-0.005824
2.345012,0.019539,0.009614,-0.005700
2.350012,0.019477,0.009648,-0.005624
2.355012,0.019381,0.009647,-0.005497
2.360011,0.019319,0.009604,-0.005388
2.365011,0.019229,0.009493,-0.005207
2.370011,0.019173,0.009390,-0.005082
2.375010,0.019098,0.009183,-0.004869
2.380010,0.019056,0.009004,-0.004713
2.385010,0.019004,0.008708,-0.004487
2.390009,0.018978,0.008480,-0.004310
2.395009,0.018956,0.008093,-0.004064
2.400008,0.018951,0.007809,-0.003890
2.405008,0.018960,0.007341,-0.003642
2.410008,0.018976,0.007009,-0.003477
2.415007,0.019015,0.006506,-0.003226
2.420007,0.019052,0.006151,-0.003032
2.425007,0.019123,0.005610,-0.002723
2.430006,0.019176,0.005259,-0.002522
2.435006,0.019263,0.004752,-0.002225
2.440006,0.019329,0.004408,-0.002014
2.445005,0.019435,0.003895,-0.001699
2.450005,0.019510,0.003562,-0.001483
2.455004,0.019626,0.003076,-0.001169
2.460004,0.019705,0.002755,-0.000943
2.465004,0.019836,0.002252,-0.000609
2.470003,0.019925,0.001925,-0.000385
2.475003,0.020047,0.001482,-0.000035
2.480003,0.020131,0.001185,0.000187
2.485002,0.020258,0.000739,0.000492
2.490002,0.020343,0.000443,0.000690
2.495002,0.020453,0.000044,0.001004
2.500001,0.020522,-0.000208,0.001227
2.505001,0.020614,-0.000552,0.001538
2.510000,0.020671,-0.000768,0.001719
2.515000,0.020748,-0.001073,0.001919
2.520000,0.020797,-0.001272,0.002027
2.524999,0.020863,-0.001558,0.002146
2.529999,0.020906,-0.001749,0.002216
2.534999,0.020960,-0.002011,0.002335
2.539998,0.020989,-0.002162,0.002400
2.544998,0.021019,-0.002352,0.002479
2.549998,0.021035,-0.002468,0.002533
2.554997,0.021060,-0.002658,0.002641
2.559997,0.021069,-0.002754,0.002703
2.564996,0.021075,-0.002866,0.002787
2.569996,0.021074,-0.002920,0.002847
